run:
39: eh
24: ella
20: my
19: you
15: the
15: under
15: umbrella
14: its
10: be
10: me
9: come
8: in
8: uhhuh
8: ill
8: rainin
8: can
7: when
6: into
6: stand
6: that
6: rain
6: here
6: we
6: shine
5: to
5: always
5: know
5: well
4: your
4: still
4: it
4: have
4: together
4: more
4: pourin
4: than
4: took
4: and
4: baby
3: told
3: friend
3: stick
3: because
3: an
3: each
3: ever
3: other
3: sun
3: out
3: eheh
3: ima
3: for
3: raining
3: now
3: end
3: said
3: with
3: oath
3: forever
2: let
2: between
2: is
2: ooh
2: has
2: need
2: rihanna
2: heart
2: gone
2: never
2: no
2: part
2: clouds
1: stack
1: youll
1: fancy
1: bad
1: chips
1: sunshine
1: yeah
1: three
1: these
1: precipitation
1: rainy
1: bank
1: weather
1: action
1: hydroplane
1: if
1: okay
1: rocafella
1: cars
1: at
1: dealt
1: jones
1: thats
1: love
1: worlds
1: maybe
1: dow
1: our
1: hov
1: youre
1: see
1: world
1: theres
1: dark
1: where
1: share
1: man
1: so
1: apart
1: hand
1: star
1: i
1: fly
1: stones
1: infinity
1: mend
1: entity
1: but
1: g5s
1: gon
1: cant
1: run
1: good
1: down
1: things
1: day
1: all
1: alarmed
1: girl
1: take
1: arms
1: dont
1: higher
1: little
1: cards
1: distance
1: back
1: miss
1: anticipation
1: of
1: magazines
1: hard
1: or
1: will
1: pour
1: war
1: better
1: jay—rain
1: there
1: ‘cause
1: shiny
1: coming
BUILD SUCCESSFUL (total time: 0 seconds)
